"","RowId","SppId","wood1","wood2","bark1","bark2","branch1","branch2","foliage1","foliage2","Notes"
"1",1,"AB",0.0941,2.3491,0.0323,2.0761,0.0448,1.9771,0.0538,1.3584,NA
"2",2,"AW",0.1861,2.1665,0.0406,1.9946,0.0461,2.2291,0.1106,1.2277,NA
"3",3,"BD",0.0562,2.4102,0.0302,2.0976,0.023,2.2382,0.0288,1.6378,NA
"4",4,"BE",0.1478,2.2986,0.012,2.2388,0.037,2.368,0.0376,1.6164,NA
"5",5,"BF",0.0534,2.403,0.0115,2.3484,0.007,2.5406,0.084,1.6695,NA
"6",6,"BW",0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,NA
"7",8,"CE",0.0654,2.2121,0.0114,2.1432,0.0335,1.9367,0.0499,1.7278,NA
"8",9,"CH",0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,NA
"9",10,"EW",0.0402,2.5804,0.0073,2.4859,0.0401,2.1826,0.075,1.3436,NA
"10",11,"HE",0.0619,2.3821,0.0139,2.3282,0.0217,2.2653,0.0776,1.6995,NA
"11",12,"IW",0.1014,2.3448,0.0291,2.0893,0.0175,2.4846,0.0515,1.5198,NA
"12",13,"LA",0.0625,2.4475,0.0174,2.1109,0.0196,2.2652,0.0801,1.4875,NA
"13",14,"MH",0.1315,2.3129,0.0631,1.9241,0.033,2.3741,0.0393,1.693,NA
"14",15,"MS",0.1014,2.3448,0.0291,2.0893,0.0175,2.4846,0.0515,1.5198,NA
"15",16,"OC",0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,NA
"16",17,"OH",0.0564,2.4347,0.0153,2.211,0.0194,2.2408,0.0935,1.6106,NA
"17",19,"OW",0.0762,2.3335,0.0338,1.9845,0.0113,2.6211,0.0188,1.7881,NA
"18",22,"PB",0.051,2.4529,0.0297,2.1131,0.012,2.4165,0.0276,1.6215,NA
"19",20,"PJ",0.0804,2.4041,0.0184,2.0703,0.0079,2.4155,0.0389,1.729,NA
"20",21,"PO",0.0608,2.4735,0.0159,2.4123,0.0082,2.5139,0.0235,1.6656,NA
"21",23,"PR",0.0564,2.4465,0.0188,2.0527,0.0033,2.7515,0.0212,2.069,NA
"22",24,"PS",0.0804,2.4041,0.0184,2.0703,0.0079,2.4155,0.0389,1.729,NA
"23",25,"PW",0.0997,2.2709,0.0192,2.2038,0.0056,2.6011,0.0284,1.9375,NA
"24",18,"QR",0.1754,2.1616,0.0384,2.0991,0.0085,2.779,0.0373,1.674,NA
"25",26,"SB",0.0494,2.5025,0.0148,2.2494,0.0291,2.0751,0.01631,1.422,NA
"26",28,"SW",0.0334,2.598,0.0114,2.3057,0.0302,2.0927,0.1515,1.5012,NA
"27",7,"YB",0.1932,2.1569,0.0192,2.2475,0.0305,2.4044,0.1119,1.3973,NA
