"","DiameterClassCode","FU","Managed","a11","a12","a13","a14","a15","a21","a22","a23","a24","a25","b11","b12","b13","b14","b15","b16","b17","b18","b21","b22","b23","b24","b25","b26","b27"
"1",1,"PJ1",0,-0.13116,0.839514,0.144575,0.146934,NA,-0.67436,0.64528,0.279303,0,NA,4.350537,1.799941,-1.04462,-1.02685,NA,NA,NA,NA,-0.85335,1.231775,0,0,NA,NA,NA
"2",2,"PJ1",1,0.757315,0.87654,NA,NA,NA,6.382946,1.788444,-0.81636,NA,NA,-2.05698,0.945887,-0.60456,0.677612,NA,NA,NA,NA,-1.0145,1.299497,0,0,NA,NA,NA
"3",21,"PJ",0,0.32505,0.975135,0.04478,NA,NA,-0.53678,0.667214,NA,0.234842,NA,-1.19259,1.215528,NA,NA,NA,NA,NA,NA,NA,NA,0.898121,0.026319,NA,NA,NA
"4",22,"PJ",1,0.733917,0.57771,0.238396,NA,NA,0.304548,NA,0.52229,NA,-0.20239,0.479986,-0.2629,NA,NA,NA,NA,NA,0.652631,-1.01992,1.121046,NA,NA,NA,0.156904,NA
"5",23,"SB",0,1.575826,0.402815,0.130723,NA,NA,1.822264,NA,0.103323,NA,-0.10333,1.297723,1.30178,NA,NA,NA,-0.93259,NA,NA,-1.96994,1.388879,NA,NA,NA,NA,0.319697
"6",24,"SB",1,1.202765,0.430246,0.220619,NA,NA,1.823548,0.174763,NA,NA,-0.17296,NA,0.757025,NA,NA,NA,NA,NA,NA,-1.51767,1.505247,NA,NA,NA,NA,NA
"7",25,"BF",0,NA,0.21753,0.405587,0.34424,NA,1.466265,0.285012,NA,NA,-0.11232,NA,NA,NA,NA,NA,NA,NA,0.435516,-0.92522,1.295468,NA,NA,NA,NA,NA
"8",26,"CE",0,2.012547,0.398275,NA,NA,NA,2.333677,NA,NA,NA,NA,-4.78716,2.478397,NA,NA,NA,NA,NA,NA,-0.76593,1.228698,NA,NA,NA,NA,NA
"9",27,"LA",0,NA,1.156371,NA,NA,NA,NA,0.834132,NA,NA,NA,NA,0.693773,NA,NA,NA,NA,NA,NA,-0.90383,1.253421,NA,NA,NA,NA,NA
"10",28,"BW",0,2.680156,0.207677,NA,NA,NA,3.328791,NA,NA,-0.37373,NA,NA,0.948853,NA,-0.22492,NA,NA,NA,NA,-0.30739,1.064701,NA,NA,NA,NA,NA
"11",29,"Pt",0,1.014267,0.804527,NA,NA,NA,NA,NA,0.118592,0.734036,NA,2.250925,NA,NA,NA,-0.41276,NA,NA,NA,-1.33818,NA,NA,0.375959,-0.0277,NA,1.260882
"12",30,"Pb",0,1.014267,0.804527,NA,NA,NA,NA,NA,0.118592,0.734036,NA,2.250925,NA,NA,NA,-0.41276,NA,NA,NA,-1.33818,NA,NA,0.375959,-0.0277,NA,1.260882
"13",31,"PO",1,1.014267,0.804527,NA,NA,NA,NA,NA,0.118592,0.734036,NA,2.250925,NA,NA,NA,-0.41276,NA,NA,NA,-1.33818,NA,NA,0.375959,-0.0277,NA,1.260882
