"","Rowid","SppId","Origin","PlantedSpp","K1","K2","K3"
"1",1,"BW1","N",NA,0.001,1.873867451,0.637293297
"2",2,"BY1","N",NA,0.0514,0.727995798,0.117849699
"3",3,"HD2","N",NA,0.001,2.242549337,0.478500698
"4",4,"PJ1","N",NA,0.001,2.919889197,0.743505243
"5",5,"PJ1","P","PJ",44.89370332,0.99999999,0.727294485
"6",6,"PJ2","N",NA,185.7588,27.86747608,0.702744687
"7",7,"PO1","N",NA,0.001,2.043116787,0.651108297
"8",8,"PR1","N",NA,0.8368,0.916524797,0.561271515
"9",9,"PR1","P","PR",0.001,2.846237356,0.61307756
"10",10,"PRW","N",NA,0.136,0.808786093,0.563166687
"11",11,"PW1","N",NA,0.4498,0.674604618,0.540795753
"12",12,"PW1","P","PW",0.0067,1.774516089,0.629577394
"13",13,"SB1","N",NA,46.9745,96.53963957,0.755778628
"14",14,"SF1","N",NA,143.35,47.37596944,0.432906902
"15",15,"SP1","N",NA,0.8788,1.262750418,0.720075188
"16",16,"SP1","P","SB",9545.566398,0.99999999,0.694474576
"17",17,"SP1","P","SW",51.98625852,0.99999999,0.658551599
"18",18,"PW","N",NA,1.1419,0.462883279,0.537006456
"19",19,"PW","P","PW",0.0066,1.782144467,0.629580866
"20",20,"PR","N",NA,381.4303,71.73825353,0.596597029
"21",21,"PR","P","PR",0.001,2.846591743,0.607129668
"22",22,"PJ","N",NA,0.001,2.958044347,0.72695766
"23",23,"PJ","P","PJ",0.2297,1.014675878,0.7690584
"24",24,"SW","P","SW",0.001,3.025676472,0.721548036
"25",25,"SB","N",NA,0.1056,0.761969174,0.738843266
"26",26,"SB","P","SB",1.0713,1.396299804,0.720839228
"27",27,"HE","N",NA,0.001,1.635592964,0.321785052
"28",28,"BF","N",NA,0.2158,0.210239929,0.99999999
"29",29,"CE","N",NA,0.0162,1.575172454,0.307289911
"30",30,"LA","N",NA,0.0118,0.956438382,0.99999999
"31",31,"MS","N",NA,0.0735,0.990915024,0.47795541
"32",32,"MH","N",NA,50.3015,-0.885699228,0.157310712
"33",33,"BY","N",NA,1.0303,0.246150946,0.09081151
"34",34,"BW","N",NA,0.1338,0.3744038,0.99999999
"35",35,"OR","N",NA,0.2864,0.05201467,0.292977967
"36",36,"BE","N",NA,553.5361,-1.366853063,0.168374284
"37",37,"AB","N",NA,115.2246,-1.382846124,0.234162161
"38",38,"AW","N",NA,30.6197,-1.279189629,0.99999999
"39",39,"PO","N",NA,0.0094,1.43904408,0.635656253
"40",40,"SW","N",NA,0.8065,-0.011596018,0.769427136
"41",41,"BfMx1","N",NA,510.0518455,0.99999999,0.571972036
"42",42,"BfPur","N",NA,3099.504569,0.99999999,0.616567789
"43",43,"BwDee","N",NA,0.100107939,0.99999999,0.577747062
"44",44,"ConMx","N",NA,5.083054805,0.99999999,0.45607777
"45",45,"HrDom","N",NA,0.13441065,0.99999999,0.502550653
"46",46,"HrdMw","N",NA,0.224711854,0.99999999,0.488976903
"47",47,"OCLow","N",NA,123287.6974,0.99999999,0.553350435
"48",48,"PjDee","N",NA,270.2450861,0.99999999,0.660559425
"49",49,"PjDee","P","PJ",44.89370332,0.99999999,0.727294485
"50",50,"PjMx1","N",NA,17.51823509,0.99999999,0.597348559
"51",51,"PjSha","N",NA,4024.362249,0.99999999,0.623717573
"52",52,"PoDee","N",NA,0.09076222,0.99999999,0.5372421
"53",53,"PrDom","N",NA,1.498592955,0.868622773,0.408571469
"54",54,"PrwMx","N",NA,2.275852923,0.99999999,0.39105368
"55",55,"PwDom","N",NA,1.697499207,0.947752933,0.290883037
"56",56,"SbDee","P","SB",9545.566398,0.99999999,0.694474576
"57",57,"SbDee","N",NA,2.513270391,0.99999999,0.412517749
"58",58,"SbLow","N",NA,87.35266196,0.99999999,0.70298954
"59",59,"SbMx1","N",NA,224111.4404,0.99999999,0.455186096
"60",60,"SbMx1","P","SW",51.98625852,0.99999999,0.658551599
"61",61,"SbSha","N",NA,585.4510563,0.99999999,0.711048732
