"","RowId","SppId","Origin","PlantedSpp","K1","K2","K3","K4","K5","K6","K7","K8","ModifiedDate"
"1",1,"PJ","N",NA,-1.1506,1.0469,-2e-04,0.0435,-1.1444,0,6.52739,-0.50097,"2010-11-18 00:00:00"
"2",2,"PR","N",NA,-1e-08,0.6797,-0.00014,0.0802,-3.147,0,7.0867,-0.53207,"2010-11-18 00:00:00"
"3",3,"PW","N",NA,-7.8562,1.0895,-1e-08,0.000888,-0.2128,0,6.22265,-0.42369,"2010-11-18 00:00:00"
"4",4,"SB","N",NA,-2.1573,1.0109,-1e-08,0.0727,-0.9255,0,5.24545,-0.31787,"2010-11-18 00:00:00"
"5",5,"SW","N",NA,-1.7719,0.9863,-0.00074,0.0869,-1.5766,0,6.23586,-0.43981,"2010-11-18 00:00:00"
"6",6,"PJ","P","PJ",-1.1506,1.0469,-2e-04,0.0435,-1.1444,0.5006,6.52739,-0.50097,"2010-11-18 00:00:00"
"7",7,"PR","P","PR",-1e-08,0.6797,-0.00014,0.0802,-3.147,0.481,7.0867,-0.53207,"2010-11-18 00:00:00"
"8",8,"PW","P","PW",-7.8562,1.0895,-1e-08,0.000888,-0.2128,7.6011,6.22265,-0.42369,"2010-11-18 00:00:00"
"9",9,"SB","P","SB",-2.1573,1.0109,-1e-08,0.0727,-0.9255,0.8119,5.24545,-0.31787,"2010-11-18 00:00:00"
"10",10,"SW","P","SW",-1.7719,0.9863,-0.00074,0.0869,-1.5766,0.5682,6.23586,-0.43981,"2010-11-18 00:00:00"
"11",11,"PjDee","P","PJ",-1.1506,1.0469,-2e-04,0.0435,-1.1444,0.5006,6.52739,-0.50097,"2010-11-18 00:00:00"
"12",12,"SbDee","P","SB",-2.1573,1.0109,-1e-08,0.0727,-0.9255,0.8119,5.24545,-0.31787,"2010-11-18 00:00:00"
"13",13,"SbMx1","P","SW",-1.7719,0.9863,-0.00074,0.0869,-1.5766,0.5682,6.23586,-0.43981,"2010-11-18 00:00:00"
"14",14,"PjDee","N",NA,-1.1506,1.0469,-2e-04,0.0435,-1.1444,0,6.52739,-0.50097,"2010-11-18 00:00:00"
"15",15,"SbDee","N",NA,-2.1573,1.0109,-1e-08,0.0727,-0.9255,0,5.24545,-0.31787,"2010-11-18 00:00:00"
"16",16,"SbMx1","N",NA,-1.7719,0.9863,-0.00074,0.0869,-1.5766,0,6.23586,-0.43981,"2010-11-18 00:00:00"
"17",17,"PJ1","P","PJ",-1.1506,1.0469,-2e-04,0.0435,-1.1444,0.5006,6.52739,-0.50097,"2010-11-18 00:00:00"
"18",18,"SP1","P","SB",-2.1573,1.0109,-1e-08,0.0727,-0.9255,0.8119,5.24545,-0.31787,"2010-11-18 00:00:00"
"19",19,"SP1","P","SW",-1.7719,0.9863,-0.00074,0.0869,-1.5766,0.5682,6.23586,-0.43981,"2010-11-18 00:00:00"
"20",20,"PJ1","N",NA,-1.1506,1.0469,-2e-04,0.0435,-1.1444,0,6.52739,-0.50097,"2010-11-18 00:00:00"
"21",21,"SP1","N",NA,-2.1573,1.0109,-1e-08,0.0727,-0.9255,0,5.24545,-0.31787,"2010-11-18 00:00:00"
"22",22,"SP1","N",NA,-1.7719,0.9863,-0.00074,0.0869,-1.5766,0,6.23586,-0.43981,"2010-11-18 00:00:00"
