"","RowId","SppId","Origin","PlantedSpp","K1","K2","K3","K4","MaxRate","ModifiedDate"
"1",1,"PJ","N",NA,6.52739,-0.50097,-0.000307474,-0.2641,0.015,"2011-02-03 00:00:00"
"2",2,"PR","N",NA,7.0867,-0.53207,-0.000130191,-0.2177,0.015,"2011-02-03 00:00:00"
"3",3,"PW","N",NA,6.22265,-0.42369,-0.000648944,-0.1717,0.02,"2011-02-03 00:00:00"
"4",4,"SB","N",NA,5.24545,-0.31787,-8.3328e-05,-0.4806,0.01,"2011-02-03 00:00:00"
"5",5,"SW","N",NA,6.23586,-0.43981,-0.000134849,-0.2136,0.01,"2011-02-03 00:00:00"
"6",6,"PJ","P","PJ",6.52739,-0.50097,-0.000307474,-0.2641,0.015,"2011-02-03 00:00:00"
"7",7,"PR","P","PR",7.0867,-0.53207,-0.000130191,-0.2177,0.015,"2011-02-03 00:00:00"
"8",8,"PW","P","PW",6.22265,-0.42369,-0.000648944,-0.1717,0.02,"2011-02-03 00:00:00"
"9",9,"SB","P","SB",5.24545,-0.31787,-8.3328e-05,-0.4806,0.01,"2011-02-03 00:00:00"
"10",10,"SW","P","SW",6.23586,-0.43981,-0.000134849,-0.2136,0.01,"2011-02-03 00:00:00"
"11",11,"PjDee","P","PJ",6.52739,-0.50097,-0.000307474,-0.2641,0.015,"2011-02-03 00:00:00"
"12",12,"SbDee","P","SB",5.24545,-0.31787,-8.3328e-05,-0.4806,0.01,"2011-02-03 00:00:00"
"13",13,"SbMx1","P","SW",6.23586,-0.43981,-0.000134849,-0.2136,0.01,"2011-02-03 00:00:00"
"14",14,"PjDee","N",NA,6.52739,-0.50097,-0.000307474,-0.2641,0.015,"2011-02-03 00:00:00"
"15",15,"SbDee","N",NA,5.24545,-0.31787,-8.3328e-05,-0.4806,0.01,"2011-02-03 00:00:00"
"16",16,"SbMx1","N",NA,6.23586,-0.43981,-0.000134849,-0.2136,0.01,"2011-02-03 00:00:00"
"17",17,"PJ1","P","PJ",6.52739,-0.50097,-0.000307474,-0.2641,0.015,"2011-02-03 00:00:00"
"18",18,"SP1","P","SB",5.24545,-0.31787,-8.3328e-05,-0.4806,0.01,"2011-02-03 00:00:00"
"19",19,"SP1","P","SW",6.23586,-0.43981,-0.000134849,-0.2136,0.01,"2011-02-03 00:00:00"
"20",20,"PJ1","N",NA,6.52739,-0.50097,-0.000307474,-0.2641,0.015,"2011-02-03 00:00:00"
"21",21,"SP1","N",NA,5.24545,-0.31787,-8.3328e-05,-0.4806,0.01,"2011-02-03 00:00:00"
"22",22,"SP1","N",NA,6.23586,-0.43981,-0.000134849,-0.2136,0.01,"2011-02-03 00:00:00"
