"","RowId","SppId","Origin","PlantedSpp","K1","K2","K3","K4"
"1",1,"BW1","N",NA,0.687350252,0.009265579,0.00100001,2.512042764
"2",2,"PJ1","N",NA,9.27456615,-0.018558739,0.027863405,0.00100001
"3",3,"PJ1","P","PJ",0,0,0,0
"4",4,"PJ2","N",NA,1.822670727,-0.058694542,0.533112122,1.616761695
"5",5,"PO1","N",NA,1e-08,0.079751718,0.005850277,1.171104685
"6",6,"PR1","N",NA,39.99999999,0.191900359,0.001001633,0.757015031
"7",7,"PR1","P",NA,39.99999999,0.191900359,0.001001633,0.757015031
"8",8,"PRW","N",NA,1e-08,0.126540847,0.010014942,0.973079013
"9",9,"PW1","N",NA,6.300331634,0.130832192,0.00518266,0.752008111
"10",10,"PW1","P",NA,0.284422437,0.2,0.2,1
"11",11,"SB1","N",NA,0.284422437,0.2,0.2,1
"12",12,"SF1","N",NA,0.826708701,-0.00155069,0.00100001,2.600968684
"13",13,"SP1","N",NA,1e-08,0.258456285,0.038850627,0.405731167
"14",14,"SP1","P","SB",0,0,0,0
"15",15,"SP1","P","SW",0,0,0,0
"16",16,"PW","N",NA,9.657325922,0.100000913,0.003776995,0.772558507
"17",17,"PW","P",NA,0.284422437,0.2,0.2,1
"18",18,"PR","N",NA,2.689352051,0.373978053,0.003376327,0.787189744
"19",19,"PR","P",NA,2.689352051,0.373978053,0.003376327,0.787189744
"20",20,"PJ","N",NA,12.07895326,-0.338811361,0.103156085,0.00100001
"21",21,"PJ","P",NA,12.07895326,-0.338811361,0.103156085,0.00100001
"22",22,"SW","P",NA,1e-08,0.249640837,0.099320969,0.00100001
"23",23,"SB","N",NA,1e-08,0.249640837,0.099320969,0.00100001
"24",24,"SB","P",NA,1e-08,0.249640837,0.099320969,0.00100001
"25",25,"HE","N",NA,4.658636521,0.078552242,0.126180054,0.020791249
"26",26,"BF","N",NA,0.578067899,0.025051676,0.00100001,2.405785761
"27",27,"CE","N",NA,0.147101425,0.305202794,0.123599147,0.00100001
"28",28,"LA","N",NA,0.298478169,0.2,0.2,1
"29",29,"MS","N",NA,0.524170399,0.012919417,1.347062022,9.86512259
"30",30,"MH","N",NA,1.447442326,-0.026581667,1.784110401,2.216724664
"31",31,"BY","N",NA,1.923730168,-0.045371554,0.00100001,2.36751171
"32",32,"BW","N",NA,0.829658143,0.005690562,0.00100001,2.460535831
"33",33,"OR","N",NA,0.850477748,0.002146681,0.00100001,2.731174325
"34",34,"BE","N",NA,1e-08,0.13151795,0.044688815,0.655134057
"35",35,"AB","N",NA,0.213222267,0.2,0.2,1
"36",36,"AW","N",NA,0.213222267,0.2,0.2,1
"37",37,"PO","N",NA,1e-08,0.098900676,0.00100001,1.711358162
"38",38,"SW","N",NA,4.4506079,-0.004542661,0.165798626,0.00100001
"39",39,"BfMx1","N",NA,6.719971141,-0.182172722,0.124704449,0.248384777
"40",40,"BfPur","N",NA,0,0,0,0
"41",41,"BwDee","N",NA,1e-08,0.145628465,0.011453985,1.047029743
"42",42,"ConMx","N",NA,1.756295738,-0.068118364,13.73105775,8.870634203
"43",43,"HrDom","N",NA,2.437357266,0.240129673,0.00100001,1.36134539
"44",44,"HrdMw","N",NA,13.2167983,-0.357871355,0.030476705,0.447130068
"45",45,"OCLow","N",NA,0,0,0,0
"46",46,"PjDee","N",NA,3.4747509,-0.082951802,0.00100001,1.843175068
"47",47,"PjDee","P",NA,0,0,0,0
"48",48,"PjMx1","N",NA,0.615793622,-0.019395756,0.00100001,0.300133606
"49",49,"PjSha","N",NA,0,0,0,0
"50",50,"PoDee","N",NA,1.408487739,-0.011978127,0.00100001,1.775117885
"51",51,"PrDom","N",NA,36.32557086,-0.754490342,0.00100001,0.94218015
"52",52,"PrwMx","N",NA,1e-08,0.093662622,0.015269497,0.764136212
"53",53,"PwDom","N",NA,1e-08,0.087514972,0.030314704,0.640194332
"54",54,"SbDee","P",NA,0,0,0,0
"55",55,"SbDee","N",NA,0,0,0,0
"56",56,"SbLow","N",NA,0,0,0,0
"57",57,"SbMx1","N",NA,0,0,0,0
"58",58,"SbMx1","P",NA,0,0,0,0
"59",59,"SbSha","N",NA,0,0,0,0
"60",60,"SbSha","N",NA,0,0,0,0
