"","RowId","SppId","Origin","PlantedSpp","K1","K2","K3","K4"
"1",1,"BW1","N",NA,1e-08,0.330723981,0.118994359,0.00100001
"2",2,"PJ1","N",NA,1e-08,0.171364365,0.00100001,1.761601194
"3",3,"PJ1","P","PJ",1e-08,0.050311472,0.075008587,0.740352639
"4",4,"PJ2","N",NA,2.000126299,0.021125376,0.149554912,0.345313679
"5",5,"PO1","N",NA,0.675167583,0.011523124,0.003985714,2.103060806
"6",6,"PR1","N",NA,1e-08,0.12977202,0.041850146,0.644483233
"7",7,"PR1","P",NA,3.351499646,0.383993737,0.001927692,1.116144759
"8",8,"PRW","N",NA,1e-08,0.611703523,0.061864992,0.00100001
"9",9,"PW1","N",NA,0.233293629,0.02557997,0.00100001,2.699876235
"10",10,"PW1","P",NA,0.361725676,0.023449052,0.801592366,1
"11",11,"SB1","N",NA,1e-08,0.140362892,0.00173747,0.581652889
"12",12,"SF1","N",NA,1.04455252,-0.000570645,1.801420811,0.00100001
"13",13,"SP1","N",NA,16.25112783,-0.687543285,0.00100001,1.863719945
"14",14,"SP1","P","SB",1e-08,0.082669328,0.00100001,2.072086861
"15",15,"SP1","P","SW",0.256032545,0.024070223,0.00100001,2.535540428
"16",16,"PW","N",NA,0.182648402,0.027466573,0.00100001,2.620824337
"17",17,"PW","P",NA,0.361725676,0.023449052,0.801592366,1
"18",18,"PR","N",NA,0.31467222,0.022957433,0.024835265,1.585250022
"19",19,"PR","P",NA,3.351499646,0.383993737,0.001927692,1.116144759
"20",20,"PJ","N",NA,1e-08,0.192945327,0.058903658,0.404914983
"21",21,"PJ","P",NA,1e-08,0.192945327,0.058903658,0.404914983
"22",22,"SW","P",NA,8.688894636,-0.305444836,0.00100001,1.889888421
"23",23,"SB","N",NA,8.688894636,-0.305444836,0.00100001,1.889888421
"24",24,"SB","P",NA,8.688894636,-0.305444836,0.00100001,1.889888421
"25",25,"HE","N",NA,0.536010245,0.018271698,0.19105744,1
"26",26,"BF","N",NA,3.628440192,-0.096026044,0.00100001,2.169555974
"27",27,"CE","N",NA,1e-08,0.396257095,0.106522157,0.00100001
"28",28,"LA","N",NA,1e-08,0.396257095,0.106522157,0.00100001
"29",29,"MS","N",NA,0.729885747,0.009934096,0.001759187,2.371868438
"30",30,"MH","N",NA,0.542745609,0.01782569,0.812826792,2.352585287
"31",31,"BY","N",NA,1e-08,0.141462663,0.017558874,0.905459906
"32",32,"BW","N",NA,0.394075585,0.344818441,0.108586584,0.00100001
"33",33,"OR","N",NA,1.368037855,0.039980669,0.00100001,1.936530382
"34",34,"BE","N",NA,0.786024215,0.007229257,15.15316353,1.026629854
"35",35,"AB","N",NA,0.215527537,0.2,0.2,1
"36",36,"AW","N",NA,0.215527537,0.2,0.2,1
"37",37,"PO","N",NA,0.633980081,0.013312608,0.01860329,1.628858112
"38",38,"SW","N",NA,7.424729106,-0.049201266,0.045382427,0.36900961
"39",39,"BfMx1","N",NA,0.478962919,0.00659859,0.002730247,2.273382202
"40",40,"BfPur","N",NA,11.37136851,0.109936687,0.001854016,1.087437704
"41",41,"BwDee","N",NA,0.37370637,0.004118607,0.00100001,2.587212477
"42",42,"ConMx","N",NA,0.309967375,0.013803254,0.00100001,2.757649512
"43",43,"HrDom","N",NA,1.31544101,-0.025205486,0.00100001,2.304082808
"44",44,"HrdMw","N",NA,0.808505586,-0.007511324,0.004055111,2.029553547
"45",45,"OCLow","N",NA,21.55512013,-0.254365647,0.003620166,0.650952708
"46",46,"PjDee","N",NA,0.405898229,0.014595086,0.00100001,2.579897626
"47",47,"PjDee","P",NA,1e-08,0.050311472,0.075008587,0.740352639
"48",48,"PjMx1","N",NA,0.664200286,0.00027659,0.00100001,2.55922613
"49",49,"PjSha","N",NA,0.432168117,0.020372951,0.00100001,2.462273785
"50",50,"PoDee","N",NA,0.276024236,0.008472488,0.00100001,2.416413605
"51",51,"PrDom","N",NA,1e-08,0.132854541,0.109058455,0.00100001
"52",52,"PrwMx","N",NA,34.15100854,-1.173308053,0.001006028,1.250028775
"53",53,"PwDom","N",NA,1e-08,0.202498772,0.037246696,0.181207196
"54",54,"SbDee","P",NA,1e-08,0.082669328,0.00100001,2.072086861
"55",55,"SbDee","N",NA,0.198492699,0.022627726,0.00100001,2.597437758
"56",56,"SbLow","N",NA,0.297904175,0.018652332,0.00100001,2.554119134
"57",57,"SbMx1","N",NA,1.692186323,0.064862234,0.11003233,0.21615107
"58",58,"SbMx1","P",NA,0.256032545,0.024070223,0.00100001,2.535540428
"59",59,"SbSha","N",NA,1e-08,0.016733843,9.325638447,1.517833254
