"","RowId","SppId","Origin","PlantedSpp","K1","K2","K3","K4"
"1",1,"BW1","N",NA,0.382715743,0.008902892,0.002835315,1.86794925
"2",2,"PJ1","N",NA,1e-08,0.064011651,0.005445627,1.385180513
"3",3,"PJ1","P","PJ",0.509748812,0.011064834,0.00100001,2.032239434
"4",4,"PJ2","N",NA,0.528829606,0.034200736,0.00100001,2.086271687
"5",5,"PO1","N",NA,0.160477898,0.007877543,0.00100001,2.305185539
"6",6,"PR1","N",NA,39.99999999,0.421235904,0.00408568,0.00100001
"7",7,"PR1","P",NA,39.99999999,0.421235904,0.00408568,0.00100001
"8",8,"PRW","N",NA,5.488095593,0.116403669,0.003564799,0.766801465
"9",9,"PW1","N",NA,0.278047386,4.30304e-05,0.00100001,2.602220286
"10",10,"PW1","P",NA,4.006577247,-0.147666976,0.00100001,2.034274319
"11",11,"SB1","N",NA,1e-08,0.052347612,0.017657166,1.088568481
"12",12,"SF1","N",NA,0.033725603,3.456642151,0.002494419,0.348755863
"13",13,"SP1","N",NA,1e-08,0.06220095,0.002778149,1.546514033
"14",14,"SP1","P","SB",0.409340391,0.055150608,0.00100001,1.876084163
"15",15,"SP1","P","SW",1e-08,0.050168333,0.00100001,1.914075392
"16",16,"PW","N",NA,0.29795732,-0.000825004,0.13531996,1.021684379
"17",17,"PW","P",NA,4.006577247,-0.147666976,0.00100001,2.034274319
"18",18,"PR","N",NA,3.518397242,0.055939921,0.015108659,0.385313514
"19",19,"PR","P",NA,1e-08,0.256063621,0.00100001,1.02158884
"20",20,"PJ","N",NA,0.423286484,0.053543654,0.00100001,1.956049798
"21",21,"PJ","P",NA,1e-08,0.031188623,0.00100001,2.153581751
"22",22,"SW","P",NA,1e-08,0.03986993,0.00100001,1.920478883
"23",23,"SB","N",NA,1e-08,0.042821755,0.065459588,0.76751623
"24",24,"SB","P",NA,1e-08,0.062266623,0.00100001,1.898026666
"25",25,"HE","N",NA,0.406719668,-0.004930204,0.00100001,2.515058579
"26",26,"BF","N",NA,1e-08,0.041665095,0.317254239,0.383597994
"27",27,"CE","N",NA,1e-08,0.173104748,0.12208098,0.00100001
"28",28,"LA","N",NA,1.637092996,-0.0244182,0.00100001,1.936593037
"29",29,"MS","N",NA,39.99999999,2.080921313,0.002205268,0.119280939
"30",30,"MH","N",NA,1.334081207,-0.035980324,0.00100001,2.491383493
"31",31,"BY","N",NA,1e-08,0.121614387,0.098554193,0.273638464
"32",32,"BW","N",NA,0.261155065,0.012992543,0.001887636,2.157256185
"33",33,"OR","N",NA,1e-08,0.028919476,0.00100001,1.791315265
"34",34,"BE","N",NA,1e-08,0.126484226,0.001548718,1.610789908
"35",35,"AB","N",NA,1e-08,0.053427564,0.004172935,1.387653959
"36",36,"AW","N",NA,1e-08,0.036433776,0.00100001,1.847150581
"37",37,"PO","N",NA,0.275272874,0.006569061,0.00100001,2.362570096
"38",38,"SW","N",NA,0.058959811,0.033345416,0.00100001,2.426089002
"39",39,"BfMx1","N",NA,0.040781348,0.030909418,0.001335551,2.420923419
"40",40,"BfPur","N",NA,1e-08,0.165717321,0.115743251,0.00100001
"41",41,"BwDee","N",NA,1.501841569,0.13640679,0.00100001,1.346781271
"42",42,"ConMx","N",NA,1e-08,0.03814064,0.003982758,1.824833432
"43",43,"HrDom","N",NA,1.263508765,-0.004112567,0.00100001,1.935116932
"44",44,"HrdMw","N",NA,4.403815471,0.049376066,0.00100001,1.457555148
"45",45,"OCLow","N",NA,1e-08,0.086132952,0.010679566,0.97520614
"46",46,"PjDee","N",NA,1e-08,0.061517504,0.00100001,1.973195122
"47",47,"PjDee","P",NA,0.509748812,0.011064834,0.00100001,2.032239434
"48",48,"PjMx1","N",NA,1e-08,0.122343699,0.00100001,1.744937659
"49",49,"PjSha","N",NA,1e-08,0.089772526,0.017543749,0.844415128
"50",50,"PoDee","N",NA,0.178434495,0.008384806,0.00100001,2.208700579
"51",51,"PrDom","N",NA,1e-08,0.120106185,0.115023555,0.00100001
"52",52,"PrwMx","N",NA,12.40662303,-0.170465324,0.041905944,0.00100001
"53",53,"PwDom","N",NA,2.350494337,0.210575739,0.002226843,0.809005457
"54",54,"SbDee","P",NA,1e-08,0.050168333,0.00100001,1.914075392
"55",55,"SbDee","N",NA,1e-08,0.31672334,0.00100001,1.330384182
"56",56,"SbLow","N",NA,1e-08,0.030896028,0.00100001,2.161764296
"57",57,"SbMx1","N",NA,1e-08,0.095586056,0.012851885,1.075570121
"58",58,"SbMx1","P",NA,0.409340391,0.055150608,0.00100001,1.876084163
"59",59,"SbSha","N",NA,0,0,0,0
