"","RowId","SppId","K1","K2","K3"
"1",1,"PW",5.215,0.004286,2.5398
"2",2,"PR",10.2462,0.000101,0.9831
"3",3,"PJ",0,0.012639,8.3752
"4",4,"SB",1.586,0.000387,1.157
"5",5,"SW",4.7766,0.032612,450.219
"6",6,"BF",4.8743,0.003204,1.5584
"7",7,"CE",5.1798,0.00894,4.5996
"8",8,"LA",0,0.003614,3.132
"9",9,"HE",6.7107,0.000825,1.0931
"10",10,"PO",7.189,0.005207,1.4052
"11",11,"BW",6.5506,0.00329,1.5971
"12",12,"MH",5.8185,0.000324,0.4106
"13",13,"AW",2.5996,0.003759,1.34313
"14",14,"BD",5.7548,0.007164,3.824
"15",15,"BE",5.1851,0.002485,0.0883
"16",16,"YB",6.2373,0.004459,3.459
"17",17,"CB",5.0755,0.003759,1.34313
"18",18,"ID",0.277,0.003747,0.909
"19",19,"QR",5.5262,0.003232,2.138
"20",20,"OH",0.3077,0.003759,1.34313
"21",21,"AB",5.8402,0.027428,12.299
"22",22,"EW",3.2627,0.021696,9.843
"23",23,"MS",3.4923,0.004848,0.973
