"","RowId","SppId","B2","G2","P2","D2","Notes"
"1",1,"AB",-1.5866,0.781254,0.9299,1,NA
"2",2,"AW",-1.5866,0.781254,0.9299,1,NA
"3",3,"BD",-1.2939,0.531448,0.9299,1,NA
"4",4,"BE",-1.31327,0.45938,0.9299,1,NA
"5",5,"BF",-1.6975,0.846743,0.9456,1,NA
"6",6,"BW",-1.51398,0.679467,0.9451,1,NA
"7",8,"CE",-1.79889,0.982894,0.86335,1,NA
"8",9,"CH",-1.43256,0.649446,0.9299,1,NA
"9",10,"EW",-1.31327,0.45938,0.9299,1,NA
"10",11,"HE",-1.81923,0.958717,0.9609,1,"PJ"
"11",12,"IW",-1.31327,0.45938,0.9299,1,NA
"12",13,"LA",-1.36033,0.6162,0.9609,1,NA
"13",14,"MH",-1.42887,0.652144,0.888319,1,NA
"14",15,"MS",-1.15247,0.337553,0.888319,1,NA
"15",16,"OC",-1.89146,1,0.955,1,NA
"16",17,"OH",-1.31327,0.45938,0.9299,1,NA
"17",19,"OW",-1.76507,0.91923,0.9299,1,NA
"18",22,"PB",-1.65083,0.804381,0.9365,1,"PO"
"19",20,"PJ",-1.81923,0.958717,0.9609,1,NA
"20",21,"PO",-1.65083,0.804381,0.9365,1,NA
"21",23,"PR",-1.89798,1.01945,0.92608,0.474187,NA
"22",24,"PS",-1.81923,0.958717,0.9609,1,"PJ"
"23",25,"PW",-1.8175,0.957132,0.925221619,1,NA
"24",18,"QR",-1.76507,0.91923,0.9299,1,NA
"25",26,"SB",-1.86185,0.998288,0.932741,1,NA
"26",28,"SW",-1.85331,1.010009,0.955,1,NA
"27",7,"YB",-1.84132,0.994332,0.888319,1,NA
