"","RowId","SppId","K1","K2"
"1",1,"AB",0.027428,12.299
"2",2,"AW",0.003759,1.34313
"3",3,"BD",0.007164,3.824
"4",4,"BE",0.002485,0.0883
"5",5,"BF",0.003204,1.5584
"6",6,"BW",0.00329,1.5971
"7",7,"BY",0.003477,1.132
"8",8,"CB",0.003759,1.34313
"9",9,"CE",0.00894,4.5996
"10",10,"EW",0.021696,9.843
"11",11,"HE",0.000825,1.0931
"12",12,"ID",0.003747,0.909
"13",13,"LA",0.003614,3.132
"14",14,"MH",0.000324,0.4106
"15",15,"MS",0.004848,0.973
"16",16,"OH",0.003759,1.34313
"17",17,"OR",0.003232,2.138
"18",18,"PJ",0.012639,8.3752
"19",19,"PO",0.005207,1.4052
"20",20,"PR",0.000101,0.9831
"21",21,"PW",0.004286,2.5398
"22",22,"SB",0.000387,1.157
"23",23,"SW",0.000364,1.1654
