"","RowId","SppId","Origin","PlantedSpp","K1","K2","K3","ModifiedDate"
"1",1,"BW1","N",NA,292331.32,-0.05323,1.37035,"2010-11-18 00:00:00"
"2",2,"BY1","N",NA,136162.5906,0.242770395,1.309678964,NA
"3",3,"HD2","N",NA,166063.4834,1.01e-06,1.30237871,NA
"4",4,"LC1","N",NA,118512.42,0,1.06927,"2010-11-18 00:00:00"
"5",5,"LH1","N",NA,369067.79,0,1.42364,"2010-11-18 00:00:00"
"6",6,"PB1","N",NA,330979.49,-0.10593,1.39275,"2010-11-18 00:00:00"
"7",7,"PJ1","N",NA,99519.33,-0.4815,1.13241,"2010-11-18 00:00:00"
"8",8,"PJ1","P","PJ",57047.31,0,1.04875,"2010-11-18 00:00:00"
"9",9,"PJ2","N",NA,83382.78,-0.0259,1.04322,"2010-11-18 00:00:00"
"10",10,"PO1","N",NA,567535.06,-0.03977,1.56,"2010-11-18 00:00:00"
"11",11,"PR1","N",NA,7580.43,0,0.686,"2010-11-18 00:00:00"
"12",12,"PR1","P","PR",25402.24,-0.07102,1.01468,"2010-11-18 00:00:00"
"13",13,"PRW","N",NA,143502.48,0,1.24501,"2010-11-18 00:00:00"
"14",14,"PW1","N",NA,57776,0,1.11405,"2010-11-18 00:00:00"
"15",15,"PW1","P","PW",196137.52,0,1.5399,"2010-11-18 00:00:00"
"16",16,"SB1","N",NA,195507.95,0,1.1406,"2010-11-18 00:00:00"
"17",17,"SF1","N",NA,234434.22,0,1.27235,"2010-11-18 00:00:00"
"18",18,"SP1","N",NA,110077.22,0,1.07096,"2010-11-18 00:00:00"
"19",19,"SP1","P","SW",127064.79,0,1.29657,"2010-11-18 00:00:00"
"20",20,"SP1","P","SB",160841.03,0,1.33966,"2010-11-18 00:00:00"
"21",21,"PW","N",NA,16128.91472,0.308531763,0.867698056,NA
"22",22,"PW","P","PW",196137.52,0,1.5399,"2010-11-18 00:00:00"
"23",23,"PR","N",NA,43327.64834,0.250991543,1.060539686,NA
"24",24,"PR","P","PR",25402.24,-0.07102,1.01468,"2010-11-18 00:00:00"
"25",25,"PJ","N",NA,316238.4632,0.136047787,1.430660467,NA
"26",26,"PJ","P","PJ",57047.31,0,1.04875,"2010-11-18 00:00:00"
"27",27,"SW","P","SW",127064.79,0,1.29657,"2010-11-18 00:00:00"
"28",28,"SB","N",NA,126641.2143,0.065248256,1.131364842,NA
"29",29,"SB","P","SB",160841.03,0,1.33966,"2010-11-18 00:00:00"
"30",30,"HE","N",NA,224553.2874,0.470843671,1.388102923,NA
"31",31,"BF","N",NA,161105.147,1.01e-06,1.226517805,NA
"32",32,"CE","N",NA,339277.3039,0.037229658,1.449384029,NA
"33",33,"LA","N",NA,405443.6504,0.12776571,1.445133618,NA
"34",34,"MS","N",NA,49548.96312,0.30036581,1.018002824,NA
"35",35,"MH","N",NA,39222.33235,0.242097416,0.86617628,NA
"36",36,"BY","N",NA,87167.05917,0.399788265,1.199971095,NA
"37",37,"BW","N",NA,89959.03078,0.002162047,1.076220316,NA
"38",38,"OR","N",NA,168799.5818,0.137414201,1.313391516,NA
"39",39,"BE","N",NA,125088.9151,1.01e-06,1.173035578,NA
"40",40,"AB","N",NA,315707.8275,0.415725593,1.428419549,NA
"41",41,"AW","N",NA,143419.62,1.124335849,1.340307875,NA
"42",42,"PO","N",NA,108158.8141,0.149598926,1.118313214,NA
"43",43,"SW","N",NA,269590.3789,1.01e-06,1.432375871,NA
"44",44,"BfMx1","N",NA,121949.2318,0.072774771,1.161797693,NA
"45",45,"BfPur","N",NA,246712.8781,0.018374833,1.315127593,NA
"46",46,"BwDee","N",NA,213693.5057,0.142399645,1.297628239,NA
"47",47,"ConMx","N",NA,58673.13665,0.274008722,0.993202077,NA
"48",48,"HrDom","N",NA,361084.996,0.185870927,1.40520281,NA
"49",49,"HrdMw","N",NA,190121.1326,0.247660655,1.236317666,NA
"50",50,"OCLow","N",NA,2450.796445,0.856406671,0.279135342,NA
"51",51,"PjDee","N",NA,69499.35038,1.01e-06,1.025713139,NA
"52",52,"PjDee","P","PJ",57047.31,0,1.04875,"2010-11-18 00:00:00"
"53",53,"PjMx1","N",NA,52748.87351,1.01e-06,0.920703712,NA
"54",54,"PjSha","N",NA,131901.2526,1.01e-06,1.185149361,NA
"55",55,"PoDee","N",NA,536302.6937,0.070966244,1.546709163,NA
"56",56,"PrDom","N",NA,1395.482806,0.687939582,0.363713856,NA
"57",57,"PrwMx","N",NA,248075.1142,1.01e-06,1.476840503,NA
"58",58,"PwDom","N",NA,28341.4424,0.364887403,1.052361466,NA
"59",59,"SbDee","P","SB",160841.03,0,1.33966,"2010-11-18 00:00:00"
"60",60,"SbDee","N",NA,71594.71525,0.16212726,1.004177268,NA
"61",61,"SbLow","N",NA,47025.14275,0.151374737,0.86967393,NA
"62",62,"SbMx1","N",NA,82487.80288,0.327149516,1.199956189,NA
"63",63,"SbMx1","P","SW",127064.79,0,1.29657,"2010-11-18 00:00:00"
"64",64,"SbSha","N",NA,696.5837405,0.149417754,1.01e-06,NA
