"","Rowid","SppId","Origin","PlantedSpp","K1","K2","K3","ModifiedDate"
"1",1,"BW1","N",NA,0.005654769,1.98511277,1,"2010-12-08 00:00:00"
"2",2,"BY1","N",NA,0.06598952,0.84062634,0.99999999,NA
"3",3,"HD2","N",NA,0.06598952,0.84062634,0.99999999,NA
"4",4,"LC1","N",NA,0.439049669,0.53231959,1,"2010-12-08 00:00:00"
"5",5,"LH1","N",NA,0.011749989,2.007977239,0.757775941,"2010-12-08 00:00:00"
"6",6,"PB1","N",NA,5.69e-07,5.47832922,0.93503848,"2010-12-08 00:00:00"
"7",7,"PJ1","N",NA,0.388278703,0.577431072,1,"2010-12-08 00:00:00"
"8",8,"PJ1","P","PJ",0.334524269,0.560158213,1,"2010-12-08 00:00:00"
"9",9,"PJ2","N",NA,0.463743581,0.513320991,1,"2010-12-08 00:00:00"
"10",10,"PO1","N",NA,0.344955924,0.541224397,1,"2010-12-08 00:00:00"
"11",11,"PR1","N",NA,8.7e-07,4.919674048,0.913482075,"2010-12-08 00:00:00"
"12",12,"PR1","P","PR",0.101659017,0.920484088,1,"2010-12-08 00:00:00"
"13",13,"PRW","N",NA,0.408924339,0.537658383,1,"2010-12-08 00:00:00"
"14",14,"PW1","N",NA,0.079932102,1.069456853,1,"2010-12-08 00:00:00"
"15",15,"PW1","P","PW",0.30868488,0.57262932,1,"2010-12-08 00:00:00"
"16",16,"SB1","N",NA,0.305629991,0.589506683,1,"2010-12-08 00:00:00"
"17",17,"SF1","N",NA,0.002461231,2.763959128,0.857102562,"2010-12-08 00:00:00"
"18",18,"SP1","N",NA,0.003897944,2.54316593,0.86741598,"2010-12-08 00:00:00"
"19",19,"SP1","P","SW",0.221347674,0.690398574,1,"2010-12-08 00:00:00"
"20",20,"SP1","P","SB",0.221347674,0.690398574,1,"2010-12-08 00:00:00"
"21",21,"PW","N",NA,0.162829477,0.761651511,0.99999999,NA
"22",22,"PW","P","PW",0.30868488,0.57262932,1,"2010-12-08 00:00:00"
"23",23,"PR","N",NA,0.126526653,0.887929518,0.99999999,NA
"24",24,"PR","P","PR",0.101659017,0.920484088,1,"2010-12-08 00:00:00"
"25",25,"PJ","N",NA,2.3699e-05,4.29583516,0.878532383,NA
"26",26,"PJ","P","PJ",0.334524269,0.560158213,1,"2010-12-08 00:00:00"
"27",27,"SW","P","SW",0.221347674,0.690398574,1,"2010-12-08 00:00:00"
"28",28,"SB","N",NA,0.161225613,0.790029051,0.99999999,NA
"29",29,"SB","P","SB",0.221347674,0.690398574,1,"2010-12-08 00:00:00"
"30",30,"HE","N",NA,3.941121517,1.749001886,0.5,NA
"31",31,"BF","N",NA,0.162960316,0.804970712,0.99999999,NA
"32",32,"CE","N",NA,0.000769976,3.255607473,0.841371844,NA
"33",33,"LA","N",NA,0.010227647,1.921380575,0.871172552,NA
"34",34,"MS","N",NA,0.06598952,0.84062634,0.99999999,NA
"35",35,"MH","N",NA,0.06598952,0.84062634,0.99999999,NA
"36",36,"BY","N",NA,0.06598952,0.84062634,0.99999999,NA
"37",37,"BW","N",NA,0.135785251,0.781736208,0.99999999,NA
"38",38,"OR","N",NA,0.06598952,0.84062634,0.99999999,NA
"39",39,"BE","N",NA,0.06598952,0.84062634,0.99999999,NA
"40",40,"AB","N",NA,0.023490336,1.392687551,0.99999999,NA
"41",41,"AW","N",NA,8.46564313,0.914165309,0.774213584,NA
"42",42,"PO","N",NA,0.005759859,2.07789417,0.911775103,NA
"43",43,"SW","N",NA,0.008093931,2.120046983,0.884993903,NA
"44",44,"BfMx1","N",NA,0.304709606,0.539222093,0.99999999,NA
"45",45,"BfPur","N",NA,0.290644397,0.55784065,0.99999999,NA
"46",46,"BwDee","N",NA,0.060175438,0.99999999,0.99999999,NA
"47",47,"ConMx","N",NA,0.081743657,0.99999999,0.99999999,NA
"48",48,"HrDom","N",NA,0.070978137,0.99999999,0.99999999,NA
"49",49,"HrdMw","N",NA,0.075295824,0.99999999,0.99999999,NA
"50",50,"OCLow","N",NA,0.341841996,0.536097683,0.99999999,NA
"51",51,"PjDee","N",NA,0.094885466,0.99999999,0.99999999,NA
"52",52,"PjDee","P","PJ",0.334524269,0.560158213,1,"2010-12-08 00:00:00"
"53",53,"PjMx1","N",NA,0.311710406,0.57293147,0.99999999,NA
"54",54,"PjSha","N",NA,0.09441727,0.99999999,0.99999999,NA
"55",55,"PoDee","N",NA,0.067030623,0.99999999,0.99999999,NA
"56",56,"PrDom","N",NA,0.077956781,0.99999999,0.99999999,NA
"57",57,"PrwMx","N",NA,0.079705802,0.99999999,0.99999999,NA
"58",58,"PwDom","N",NA,0.099298981,0.920958684,0.99999999,NA
"59",59,"SbDee","P","SB",0.221347674,0.690398574,1,"2010-12-08 00:00:00"
"60",60,"SbDee","N",NA,0.310787478,0.546165136,0.99999999,NA
"61",61,"SbLow","N",NA,0.254692678,0.60227463,0.99999999,NA
"62",62,"SbMx1","N",NA,0.39872578,0.537119064,0.99999999,NA
"63",63,"SbMx1","P","SW",0.221347674,0.690398574,1,"2010-12-08 00:00:00"
"64",64,"SbSha","N",NA,0.295602805,0.579743368,0.99999999,NA
