"","RowId","SppId","Origin","PlantedSpp","K1","K2","K3","ModifiedDate"
"1",1,"BW1","N",NA,0.593832627,0.997010647,0.865334833,"2010-12-08 00:00:00"
"2",2,"BY1","N",NA,0.337392054,1,1,NA
"3",3,"HD2","N",NA,0.358619291,1,1,NA
"4",4,"LC1","N",NA,0.464863714,0.758097568,1.247745603,"2010-12-08 00:00:00"
"5",5,"LH1","N",NA,1.132053706,0.938290223,0.661207269,"2010-12-08 00:00:00"
"6",6,"PB1","N",NA,0.580527981,0.857096138,1.051715239,"2010-12-08 00:00:00"
"7",7,"PJ1","N",NA,0.81681616,0.983889486,0.815415468,"2010-12-08 00:00:00"
"8",8,"PJ1","P","PJ",0.713820825,0.990425619,0.865005629,"2010-12-08 00:00:00"
"9",9,"PJ2","N",NA,0.675457233,1.043806181,0.787396405,"2010-12-08 00:00:00"
"10",10,"PO1","N",NA,0.638017999,0.991000651,0.873847025,"2010-12-08 00:00:00"
"11",11,"PR1","N",NA,0.742825003,0.978851022,0.842709033,"2010-12-08 00:00:00"
"12",12,"PR1","P","PR",0.673728136,1.071815258,0.790826494,"2010-12-08 00:00:00"
"13",13,"PRW","N",NA,0.722075832,1.033849041,0.773226326,"2010-12-08 00:00:00"
"14",14,"PW1","N",NA,1.255662815,1.00992545,0.661461972,"2010-12-08 00:00:00"
"15",15,"PW1","P","PW",0.996473239,1.074421393,0.681789118,"2010-12-08 00:00:00"
"16",16,"SB1","N",NA,0.668688708,1.022271854,0.785497986,"2010-12-08 00:00:00"
"17",17,"SF1","N",NA,0.702166692,0.984121577,0.797127034,"2010-12-08 00:00:00"
"18",18,"SP1","N",NA,0.613241173,1.027095834,0.821226164,"2010-12-08 00:00:00"
"19",19,"SP1","P","SW",0.792133034,1.010715222,0.724149872,"2010-12-08 00:00:00"
"20",20,"SP1","P","SB",0.683744003,0.996821334,0.823327452,"2010-12-08 00:00:00"
"21",21,"PW","N",NA,0.369659548,1,1,NA
"22",22,"PW","P","PW",0.996473239,1.074421393,0.681789118,"2010-12-08 00:00:00"
"23",23,"PR","N",NA,0.381506764,1,1,NA
"24",24,"PR","P","PR",0.673728136,1.071815258,0.790826494,"2010-12-08 00:00:00"
"25",25,"PJ","N",NA,0.413642407,1,1,NA
"26",26,"PJ","P","PJ",0.713820825,0.990425619,0.865005629,"2010-12-08 00:00:00"
"27",27,"SW","P","SW",0.792133034,1.010715222,0.724149872,"2010-12-08 00:00:00"
"28",28,"SB","N",NA,0.392099979,1,1,NA
"29",29,"SB","P","SB",0.683744003,0.996821334,0.823327452,"2010-12-08 00:00:00"
"30",30,"HE","N",NA,0.325233847,1,1,NA
"31",31,"BF","N",NA,0.353487475,1,1,NA
"32",32,"CE","N",NA,0.314067024,1,1,NA
"33",33,"LA","N",NA,0.342175145,1,1,NA
"34",34,"MS","N",NA,0.36349384,1,1,NA
"35",35,"MH","N",NA,0.324692795,1,1,NA
"36",36,"BY","N",NA,0.356931811,1,1,NA
"37",37,"BW","N",NA,0.33593079,1,1,NA
"38",38,"OR","N",NA,0.375121161,1,1,NA
"39",39,"BE","N",NA,0.364902438,1,1,NA
"40",40,"AB","N",NA,0.366031543,1,1,NA
"41",41,"AW","N",NA,0.387070193,1,1,NA
"42",42,"PO","N",NA,0.356891631,1,1,NA
"43",43,"SW","N",NA,0.336535222,1,1,NA
"44",44,"BfMx1","N",NA,0.378675694,1,1,NA
"45",45,"BfPur","N",NA,0.37224973,1,1,NA
"46",46,"BwDee","N",NA,0.383527649,1,1,NA
"47",47,"ConMx","N",NA,0.37611909,1,1,NA
"48",48,"HrDom","N",NA,0.356144356,1,1,NA
"49",49,"HrdMw","N",NA,0.361525056,1,1,NA
"50",50,"OCLow","N",NA,0.324876874,1,1,NA
"51",51,"PjDee","N",NA,0.408649855,1,1,NA
"52",52,"PjDee","P","PJ",0.713820825,0.990425619,0.865005629,"2010-12-08 00:00:00"
"53",53,"PjMx1","N",NA,0.377998881,1,1,NA
"54",54,"PjSha","N",NA,0.41651131,1,1,NA
"55",55,"PoDee","N",NA,0.363416539,1,1,NA
"56",56,"PrDom","N",NA,0.364055091,1,1,NA
"57",57,"PrwMx","N",NA,0.369803342,1,1,NA
"58",58,"PwDom","N",NA,0.356216983,1,1,NA
"59",59,"SbDee","P","SB",0.683744003,0.996821334,0.823327452,"2010-12-08 00:00:00"
"60",60,"SbDee","N",NA,0.382307452,1,1,NA
"61",61,"SbLow","N",NA,0.366856772,1,1,NA
"62",62,"SbMx1","N",NA,0.36383823,1,1,NA
"63",63,"SbMx1","P","SW",0.792133034,1.010715222,0.724149872,"2010-12-08 00:00:00"
"64",64,"SbSha","N",NA,0.336727921,1,1,NA
