"","SppId","Sc","K1","K2","K3","K4","K5"
"1","SB","0",-1111.06,1196.85,0.0979,-222.704,0.25423
"2","SB","1",-63.35,27.48,0.43284,-2.514,0.79763
"3","SB","2",-17.18,3.18,0.87183,-0.65,1.13953
"4","SB","3",-30.49,3.16,0.769,-0.076,1.39816
"5","PJ","1",-376.818,449.078,0.08929,-93.1142,0.23427
"6","PJ","2",-275.525,292.164,0.1207,-50.6494,0.30677
"7","PJ","3",-122.597,98.255,0.21103,-11.7777,0.49168
"8","PO","1",-6.2702,2.84959,0.96102,-0.82411,1.18713
"9","PO","2",-12.4473,4.53779,0.80719,-0.90495,1.09499
"10","PO","3",-14.3649,3.3976,0.88693,-0.707,1.17483
"11","BW","1",-20.8814,5.022,0.7497,-0.5084,1.1682
"12","BW","2",-45.6918,17.1548,0.5058,-1.6768,0.9027
"13","BW","3",-67.2847,31.2991,0.416,-3.4986,0.7779
"14","MH","1",1.8667,1.59607,1.0537,-0.88589,1.14724
"15","MH","2",-4.5934,1.87013,0.92592,-0.70061,1.07922
"16","MH","3",-10.0912,3.38491,0.85733,-1.52405,0.98175
"17","PW","1",-665.263,800.325,0.070446,-168.386,0.18711
"18","PW","2",-715.141,823.77,0.078473,-165.028,0.20659
"19","PW","3",-793,857.507,0.092913,-160.724,0.24073
"20","PR","1",-787.418,891.27,0.08592,-174.834,0.22454
"21","PR","2",-919.274,1013,0.09211,-194.472,0.23955
"22","PR","3",-181.082,133.52,0.23981,-18.331,0.49773
