"","RowId","SppId","K1","K2","K3","K4"
"1",14,"AX",0,0.34105,0.001,1.36732
"2",6,"BF",2.0817,0.04933,0.001,2.12368
"3",11,"BW",3.1249,0.11688,0.001,1.54836
"4",15,"BY",6.6365,0.31036,0.003416,1.07319
"5",7,"CE",4.0642,0,1,1
"6",9,"HE",40,0.9232,0.01359,0.44433
"7",8,"LA",1.64198,1.37516,0.001,1.28051
"8",12,"MH",2.8381,0.18825,0.001,1.49991
"9",13,"MS",0,0.21307,0.001,1.31712
"10",17,"OH",0,0.18894,0.001,1.40504
"11",16,"OX",0,0.39107,0.001,1.50231
"12",3,"PJ",6.1269,0.33383,0.00597,1.2495
"13",10,"PO",4.2268,0.30489,0.001,1.6578
"14",2,"PR",1.9634,0.88679,0.001,1.46995
"15",1,"PW",4.2579,0.62424,0.001,1.48911
"16",4,"SB",2.9803,0.03233,0.001,2.10435
"17",5,"SW",2.99,0.0838,0.00909,1.46559
