"","SppId","Age2BH","b0","b1","ModifiedDate"
"1","AB",3,3.4064,0,"2010-11-22 00:00:00"
"2","AW",3,3.4064,0,"2010-11-22 00:00:00"
"3","BD",3,3.4064,0,"2010-11-22 00:00:00"
"4","BE",3,6.0468,-0.13742,"2010-11-22 00:00:00"
"5","BF",7,15.4799,-0.60533,"2010-11-22 00:00:00"
"6","BW",5,4.9178,0,"2010-11-22 00:00:00"
"7","BY",3,3.4064,0,"2010-11-22 00:00:00"
"8","CE",11,11.2143,0,"2010-11-22 00:00:00"
"9","CH",3,3.4064,0,"2010-11-22 00:00:00"
"10","EW",3,3.4064,0,"2010-11-22 00:00:00"
"11","HE",10,10,0,"2010-11-22 00:00:00"
"12","IW",3,3.4064,0,"2010-11-22 00:00:00"
"13","LA",6,10.834,-0.36803,"2010-11-22 00:00:00"
"14","MH",9,8.8333,0,"2010-11-22 00:00:00"
"15","MS",3,6.0468,-0.13742,"2010-11-22 00:00:00"
"16","OC",7,7.2498,0,"2010-11-22 00:00:00"
"17","OH",3,3.4064,0,"2010-11-22 00:00:00"
"18","OR",3,3.4064,0,"2010-11-22 00:00:00"
"19","OW",3,3.4064,0,"2010-11-22 00:00:00"
"20","PJ",3,4.9093,-0.09221,"2010-11-22 00:00:00"
"21","PO",3,2.6383,0,"2010-11-22 00:00:00"
"22","PR",4,3.5417,0,"2010-11-22 00:00:00"
"23","PS",4,3.5417,0,"2010-11-22 00:00:00"
"24","PW",6,6.1304,0,"2010-11-22 00:00:00"
"25","SB",8,17.001,-0.62447,"2010-11-22 00:00:00"
"26","SR",8,17.001,-0.62447,"2010-11-22 00:00:00"
"27","SW",6,6.4968,0,"2010-11-22 00:00:00"
